,ip,sum(bytes)
0,128.104.66.114,4889.0
1,128.120.125.246,11359.0
2,128.120.153.224,480433.0
3,128.120.5.70,0.0
4,128.120.68.34,61554.0
5,128.138.177.19,156204.0
6,128.138.177.44,167591.0
7,128.138.177.6,63856.0
8,128.144.102.56,521757.0
9,128.148.245.158,3947.0
10,128.150.157.33,35238.0
11,128.158.53.34,73249.0
12,128.159.128.27,1052103.0
13,128.159.144.142,17074.0
14,128.159.146.92,18181.0
15,128.163.10.219,12130.0
16,128.163.17.212,212306.0
17,128.163.40.45,258067.0
18,128.165.180.61,92188.0
19,128.180.28.3,5388.0
20,128.192.24.215,2624.0
21,128.196.182.10,24398.0
22,128.206.30.37,4233.0
23,128.220.72.225,11746.0
24,128.227.109.32,19910.0
25,128.227.144.18,93175.0
26,128.227.152.54,343634.0
27,128.23.160.101,11747.0
28,128.252.99.104,325001.0
29,128.253.25.114,269703.0
30,128.255.51.142,32988.0
31,128.97.218.144,93203.0
32,129.108.62.218,12649.0
33,129.130.232.64,454963.0
34,129.132.182.34,97879.0
35,129.135.216.13,11747.0
36,129.15.32.106,120788.0
37,129.162.13.175,43686.0
38,129.162.205.5,23009.0
39,129.187.250.1,19910.0
40,129.190.221.148,15154.0
41,129.190.44.137,47742.0
42,129.193.171.77,3073.0
43,129.193.186.72,5830.0
44,129.219.187.109,16530.0
45,129.228.127.11,35792.0
46,129.237.223.3,12306.0
47,129.237.24.71,1274796.0
48,129.238.120.26,11746.0
49,129.243.129.234,104910.0
50,129.252.188.166,93362.0
51,129.252.21.184,60575.0
52,129.53.76.146,1140.0
53,129.57.33.48,14256.0
54,129.81.186.112,98546.0
55,129.93.222.79,11746.0
56,129.93.226.66,7513.0
57,129.93.226.71,11746.0
58,129.93.229.104,11808.0
59,129.93.236.89,11747.0
60,129.96.209.96,4996.0
61,130.101.13.102,86425.0
62,130.127.84.37,12630.0
63,130.158.72.126,40575.0
64,130.19.10.65,957522.0
65,130.206.105.165,29733.0
66,130.207.94.51,23026.0
67,130.241.163.40,30666.0
68,130.38.73.80,17607.0
69,130.54.47.156,13603.0
70,130.95.42.191,9566.0
71,130.99.163.23,3842.0
72,131.110.56.66,37512.0
73,131.120.147.33,2624.0
74,131.126.30.164,175957.0
75,131.144.40.72,5327.0
76,131.167.25.3,784339.0
77,131.167.25.6,30575.0
78,131.167.48.39,155930.0
79,131.167.99.59,116036.0
80,131.167.99.88,209201.0
81,131.170.154.29,12588.0
82,131.178.81.68,152564.0
83,131.178.9.51,83630.0
84,131.181.38.71,35339.0
85,131.182.154.201,11747.0
86,131.182.170.143,8727.0
87,131.203.13.244,4889.0
88,131.215.67.47,32988.0
89,131.230.197.21,3073.0
90,131.234.216.133,
91,131.247.150.153,11808.0
92,131.250.8.83,67624.0
93,131.44.53.25,4889.0
94,131.52.16.102,373394.0
95,131.90.176.27,8712.0
96,131.92.128.99,136556.0
97,131.92.168.177,51853.0
98,131.92.168.211,173168.0
99,131.95.119.99,46091.0
100,132.170.199.112,11808.0
101,132.170.199.114,74850.0
102,132.170.199.124,28201.0
103,132.175.136.162,19488.0
104,132.236.38.122,13925.0
105,132.248.53.29,106260.0
106,132.74.12.10,69622.0
107,133.62.128.131,44317.0
108,134.116.4.42,4449.0
109,134.126.28.83,11590.0
110,134.136.91.60,14416.0
111,134.156.8.36,61456.0
112,134.164.40.57,11747.0
113,134.186.133.70,103336.0
114,134.186.191.100,11747.0
115,134.186.191.52,12419.0
116,134.186.194.4,128164.0
117,134.186.196.20,7477.0
118,134.186.196.23,161147.0
119,134.20.176.82,116624.0
120,134.20.62.234,130983.0
121,134.243.205.146,22149.0
122,134.243.205.184,24553.0
123,134.243.205.239,53977.0
124,134.243.230.108,15663.0
125,134.53.24.216,14507.0
126,134.53.98.16,39721.0
127,134.67.162.118,15506.0
128,134.67.162.121,10238.0
129,134.67.162.123,108959.0
130,134.67.162.127,24802.0
131,134.67.195.123,11808.0
132,134.67.247.53,31613.0
133,134.67.39.48,17214.0
134,134.67.41.20,69511.0
135,134.67.57.26,14122.0
136,134.67.57.27,69641.0
137,134.67.75.116,4888.0
138,134.7.60.128,32505.0
139,136.205.176.110,39957.0
140,136.205.18.37,29657.0
141,136.210.122.4,3710.0
142,137.113.193.236,35969.0
143,137.132.52.66,2235.0
144,137.159.177.111,14449.0
145,137.161.153.224,39435.0
146,137.187.102.8,5327.0
147,137.219.55.101,1162480.0
148,137.227.51.13,52293.0
149,137.227.51.15,37584.0
150,137.229.144.53,16131.0
151,137.241.180.13,8618.0
152,137.243.44.118,52225.0
153,137.35.140.68,78093.0
154,137.44.6.161,9606.0
155,138.13.122.153,91352.0
156,138.145.14.116,24576.0
157,138.25.148.25,45491.0
158,138.26.154.176,11747.0
159,138.87.164.21,73569.0
160,138.87.174.181,104476.0
161,138.87.174.185,47258.0
162,138.87.174.187,19910.0
163,138.87.174.193,4707.0
164,138.87.174.195,18643.0
165,138.87.174.197,18705.0
166,138.87.174.199,13705.0
167,138.87.174.201,25132.0
168,139.102.65.47,18356.0
169,139.102.65.59,67686.0
170,139.104.10.120,26806.0
171,139.104.10.167,58579.0
172,139.121.102.121,30593.0
173,139.121.50.49,598.0
174,139.121.79.159,134858.0
175,139.121.98.45,5041738.0
176,139.230.166.82,95929.0
177,139.94.97.6,39857.0
178,140.112.34.207,10297.0
179,140.112.68.165,7811.0
180,140.115.3.165,4889.0
181,140.120.29.161,11516.0
182,140.183.199.34,35176.0
183,140.90.166.59,73392.0
184,140.96.17.110,24866.0
185,141.161.18.205,444230.0
186,141.173.36.74,52522.0
187,141.173.58.82,177600.0
188,141.192.85.41,43782.0
189,141.209.3.136,1824.0
190,141.211.86.123,14484.0
191,141.233.130.130,103106.0
192,141.243.1.108,11808.0
193,141.243.1.172,1634402.0
194,141.243.1.174,10739.0
195,141.243.1.182,23494.0
196,141.243.1.183,11747.0
197,141.243.1.184,19260.0
198,141.243.1.185,7513.0
199,141.243.1.186,11747.0
200,141.243.1.187,11747.0
201,141.243.1.188,11747.0
202,141.244.142.68,4889.0
203,142.106.186.101,11516.0
204,142.139.220.18,26138.0
205,142.140.32.21,54461.0
206,142.142.64.13,53501.0
207,142.2.32.69,34314.0
208,142.227.56.52,15204.0
209,142.25.2.206,84897.0
210,142.28.2.67,398729.0
211,142.36.4.198,10925.0
212,142.94.10.2,11808.0
213,143.139.25.15,15019.0
214,143.166.206.84,232810.0
215,143.188.9.163,42748.0
216,143.202.74.4,11746.0
217,144.207.78.19,134184.0
218,144.39.248.101,34095.0
219,144.51.21.1,14370.0
220,144.92.184.112,34212.0
221,144.92.46.13,24476.0
222,146.114.111.32,8280.0
223,146.114.26.12,228495.0
224,146.114.41.1,77075.0
225,146.129.161.37,19490.0
226,146.137.152.20,17330.0
227,146.138.12.103,11746.0
228,146.138.145.126,335188.0
229,146.138.145.184,1118189.0
230,146.138.145.203,198581.0
231,146.138.145.206,1098374.0
232,146.138.34.168,1079474.0
233,146.138.35.184,11808.0
234,146.138.35.190,12631.0
235,146.142.48.156,81406.0
236,146.167.189.54,11747.0
237,146.184.114.114,63071.0
238,146.184.114.116,136544.0
239,146.229.1.49,2624.0
240,146.63.206.253,5532.0
241,146.64.37.96,55178.0
242,146.83.128.83,1802.0
243,147.154.93.101,
244,147.154.93.104,12348.0
245,147.154.93.125,9777.0
246,147.160.9.21,353226.0
247,147.160.9.24,136649.0
248,147.46.42.11,19645.0
249,147.46.54.149,44592.0
250,147.46.54.150,56169.0
251,147.97.8.19,17563.0
252,148.129.52.165,8802.0
253,148.149.107.11,9134.0
254,148.149.107.147,139325.0
255,148.149.108.49,15699.0
256,148.224.17.200,367193.0
257,148.224.17.21,137500.0
258,148.224.17.22,12587.0
259,149.123.103.99,15820.0
260,149.136.2.181,11577.0
261,149.159.22.10,67951.0
262,149.168.105.12,6255.0
263,149.168.25.115,108012.0
264,149.168.25.195,28257.0
265,149.168.50.194,64249.0
266,149.168.51.35,531611.0
267,149.25.57.7,93917.0
268,149.250.222.1,4254.0
269,149.252.214.79,334712.0
270,149.4.13.48,0.0
271,149.79.176.84,32173.0
272,149.8.43.17,2336.0
273,150.148.177.238,14506.0
274,150.148.56.13,44356.0
275,150.192.45.67,5226.0
276,150.200.42.20,147822.0
277,150.216.15.141,7188.0
278,150.216.15.85,252733.0
279,150.216.67.4,7512.0
280,152.120.119.72,11746.0
281,152.120.123.165,21759.0
282,152.123.183.210,11747.0
283,152.123.183.212,11747.0
284,152.123.194.6,16636.0
285,152.160.78.1,17331.0
286,152.165.111.120,7758.0
287,152.35.128.13,14709.0
288,153.64.63.35,57523.0
289,153.90.241.102,38313.0
290,155.187.32.163,7574.0
291,155.206.19.108,15340.0
292,155.206.3.82,9785.0
293,155.33.62.76,42755.0
294,155.75.105.213,13336.0
295,155.75.107.234,19910.0
296,155.75.31.8,28468.0
297,155.76.34.55,8718.0
298,155.77.120.18,11515.0
299,155.77.120.28,20475.0
300,155.78.168.23,11747.0
301,155.79.153.164,68101.0
302,155.81.101.76,11808.0
303,155.82.161.245,82766.0
304,155.82.20.107,39162.0
305,155.84.91.39,67686.0
306,155.84.91.40,275464.0
307,155.84.91.41,93785.0
308,155.84.91.42,105355.0
309,155.84.92.3,3353172.0
310,155.95.69.37,4914.0
311,156.3.41.81,70215.0
312,156.41.19.11,798931.0
313,156.42.76.162,27049.0
314,156.63.155.119,
315,156.63.155.156,14465.0
316,156.63.173.125,11746.0
317,156.63.241.112,46335.0
318,156.63.241.113,93491.0
319,156.63.59.132,339453.0
320,156.63.59.137,24558.0
321,156.63.59.148,15020.0
322,156.63.59.149,28746.0
323,156.63.59.190,15019.0
324,156.63.91.107,216768.0
325,156.63.91.92,105906.0
326,156.63.99.189,204090.0
327,156.80.164.71,85282.0
328,156.80.94.51,14450.0
329,156.98.168.200,20464.0
330,156.98.203.29,
331,156.98.203.5,12195.0
332,156.98.204.48,15020.0
333,156.98.205.127,3577.0
334,156.98.205.38,55815.0
335,156.98.205.46,1938034.0
336,156.99.78.138,11746.0
337,157.142.200.132,31060.0
338,157.145.93.27,45500.0
339,157.182.94.210,23999.0
340,157.190.64.20,141854.0
341,157.22.192.30,7513.0
342,157.92.49.53,75908.0
343,158.111.64.150,11747.0
344,158.111.96.101,116881.0
345,158.111.97.43,18257.0
346,158.145.111.130,17550.0
347,158.185.86.130,50414.0
348,158.229.201.74,157168.0
349,158.72.25.7,15020.0
350,159.105.44.21,33203.0
351,159.142.162.78,3517.0
352,159.230.8.130,3508.0
353,159.238.20.194,104754.0
354,159.238.227.132,25393.0
355,160.136.18.53,59406.0
356,160.69.35.16,393035.0
357,160.80.14.61,340602.0
358,161.119.52.62,14963.0
359,161.119.73.37,11747.0
360,161.122.12.78,3008684.0
361,161.129.48.162,3050.0
362,161.156.150.116,11746.0
363,161.225.48.3,2624.0
364,162.108.35.147,6874.0
365,162.15.100.123,16040.0
366,162.43.14.12,15680.0
367,162.43.21.12,81723.0
368,162.80.100.210,84489.0
369,162.80.60.48,16087.0
370,163.13.143.35,11577.0
371,163.178.128.205,9185.0
372,163.191.129.33,11515.0
373,163.191.186.9,165420.0
374,163.191.188.77,15917.0
375,163.191.195.25,7512.0
376,163.206.111.16,53638.0
377,163.234.112.156,74329.0
378,163.234.112.177,201534.0
379,163.234.116.45,179570.0
380,163.234.128.29,9569.0
381,163.234.128.41,9651.0
382,163.234.140.24,81936.0
383,163.234.156.52,31525.0
384,163.234.188.21,12588.0
385,163.234.204.22,108987.0
386,163.234.224.24,604773.0
387,163.234.34.150,53603.0
388,163.234.52.80,2873.0
389,163.234.60.163,9807.0
390,164.155.1.101,4044.0
391,164.155.1.107,267469.0
392,164.156.42.105,14450.0
393,164.158.3.218,35178.0
394,164.159.192.31,43100.0
395,164.159.7.12,307570.0
396,164.167.106.160,122103.0
397,164.167.106.164,15149.0
398,164.64.142.46,235403.0
399,165.1.8.140,74884.0
400,165.110.45.53,80583.0
401,165.113.166.116,26475.0
402,165.13.6.109,9384.0
403,165.151.26.205,4950.0
404,165.151.47.249,284453.0
405,165.151.51.235,3532.0
406,165.152.208.237,27129.0
407,165.152.88.75,2624.0
408,165.213.131.21,23813.0
409,165.234.109.10,23944.0
410,165.235.39.150,11746.0
411,167.193.49.75,80092.0
