,window,ip,sum(bytes)
0,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",202.32.50.6,16682
1,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",141.243.1.172,177370
2,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",141.243.1.174,10739
3,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",204.188.47.212,21118
4,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",149.159.22.10,67951
5,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",204.62.245.32,21181
6,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",138.25.148.25,28591
7,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",131.170.154.29,5075
8,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",161.122.12.78,45957
9,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",137.132.52.66,2235
10,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",157.22.192.30,7513
11,"Row(start=datetime.datetime(1970, 1, 30, 0, 0), end=datetime.datetime(1970, 1, 30, 1, 0))",203.1.203.222,3717
