,subnet,sum(bytes)
0,128.104.66.*,4889.0
1,128.120.125.*,11359.0
2,128.120.153.*,480433.0
3,128.120.5.*,0.0
4,128.120.68.*,61554.0
5,128.138.177.*,387651.0
6,128.144.102.*,521757.0
7,128.148.245.*,3947.0
8,128.150.157.*,35238.0
9,128.158.53.*,73249.0
10,128.159.128.*,1052103.0
11,128.159.144.*,17074.0
12,128.159.146.*,18181.0
13,128.163.10.*,12130.0
14,128.163.17.*,212306.0
15,128.163.40.*,258067.0
16,128.165.180.*,92188.0
17,128.180.28.*,5388.0
18,128.192.24.*,2624.0
19,128.196.182.*,24398.0
20,128.206.30.*,4233.0
21,128.220.72.*,11746.0
22,128.227.109.*,19910.0
23,128.227.144.*,93175.0
24,128.227.152.*,343634.0
25,128.23.160.*,11747.0
26,128.252.99.*,325001.0
27,128.253.25.*,269703.0
28,128.255.51.*,32988.0
29,128.97.218.*,93203.0
30,129.108.62.*,12649.0
31,129.130.232.*,454963.0
32,129.132.182.*,97879.0
33,129.135.216.*,11747.0
34,129.15.32.*,120788.0
35,129.162.13.*,43686.0
36,129.162.205.*,23009.0
37,129.187.250.*,19910.0
38,129.190.221.*,15154.0
39,129.190.44.*,47742.0
40,129.193.171.*,3073.0
41,129.193.186.*,5830.0
42,129.219.187.*,16530.0
43,129.228.127.*,35792.0
44,129.237.223.*,12306.0
45,129.237.24.*,1274796.0
46,129.238.120.*,11746.0
47,129.243.129.*,104910.0
48,129.252.188.*,93362.0
49,129.252.21.*,60575.0
50,129.53.76.*,1140.0
51,129.57.33.*,14256.0
52,129.81.186.*,98546.0
53,129.93.222.*,11746.0
54,129.93.226.*,19259.0
55,129.93.229.*,11808.0
56,129.93.236.*,11747.0
57,129.96.209.*,4996.0
58,130.101.13.*,86425.0
59,130.127.84.*,12630.0
60,130.158.72.*,40575.0
61,130.19.10.*,957522.0
62,130.206.105.*,29733.0
63,130.207.94.*,23026.0
64,130.241.163.*,30666.0
65,130.38.73.*,17607.0
66,130.54.47.*,13603.0
67,130.95.42.*,9566.0
68,130.99.163.*,3842.0
69,131.110.56.*,37512.0
70,131.120.147.*,2624.0
71,131.126.30.*,175957.0
72,131.144.40.*,5327.0
73,131.167.25.*,814914.0
74,131.167.48.*,155930.0
75,131.167.99.*,325237.0
76,131.170.154.*,12588.0
77,131.178.81.*,152564.0
78,131.178.9.*,83630.0
79,131.181.38.*,35339.0
80,131.182.154.*,11747.0
81,131.182.170.*,8727.0
82,131.203.13.*,4889.0
83,131.215.67.*,32988.0
84,131.230.197.*,3073.0
85,131.234.216.*,
86,131.247.150.*,11808.0
87,131.250.8.*,67624.0
88,131.44.53.*,4889.0
89,131.52.16.*,373394.0
90,131.90.176.*,8712.0
91,131.92.128.*,136556.0
92,131.92.168.*,225021.0
93,131.95.119.*,46091.0
94,132.170.199.*,114859.0
95,132.175.136.*,19488.0
96,132.236.38.*,13925.0
97,132.248.53.*,106260.0
98,132.74.12.*,69622.0
99,133.62.128.*,44317.0
100,134.116.4.*,4449.0
101,134.126.28.*,11590.0
102,134.136.91.*,14416.0
103,134.156.8.*,61456.0
104,134.164.40.*,11747.0
105,134.186.133.*,103336.0
106,134.186.191.*,24166.0
107,134.186.194.*,128164.0
108,134.186.196.*,168624.0
109,134.20.176.*,116624.0
110,134.20.62.*,130983.0
111,134.243.205.*,100679.0
112,134.243.230.*,15663.0
113,134.53.24.*,14507.0
114,134.53.98.*,39721.0
115,134.67.162.*,159505.0
116,134.67.195.*,11808.0
117,134.67.247.*,31613.0
118,134.67.39.*,17214.0
119,134.67.41.*,69511.0
120,134.67.57.*,83763.0
121,134.67.75.*,4888.0
122,134.7.60.*,32505.0
123,136.205.176.*,39957.0
124,136.205.18.*,29657.0
125,136.210.122.*,3710.0
126,137.113.193.*,35969.0
127,137.132.52.*,2235.0
128,137.159.177.*,14449.0
129,137.161.153.*,39435.0
130,137.187.102.*,5327.0
131,137.219.55.*,1162480.0
132,137.227.51.*,89877.0
133,137.229.144.*,16131.0
134,137.241.180.*,8618.0
135,137.243.44.*,52225.0
136,137.35.140.*,78093.0
137,137.44.6.*,9606.0
138,138.13.122.*,91352.0
139,138.145.14.*,24576.0
140,138.25.148.*,45491.0
141,138.26.154.*,11747.0
142,138.87.164.*,73569.0
143,138.87.174.*,252536.0
144,139.102.65.*,86042.0
145,139.104.10.*,85385.0
146,139.121.102.*,30593.0
147,139.121.50.*,598.0
148,139.121.79.*,134858.0
149,139.121.98.*,5041738.0
150,139.230.166.*,95929.0
151,139.94.97.*,39857.0
152,140.112.34.*,10297.0
153,140.112.68.*,7811.0
154,140.115.3.*,4889.0
155,140.120.29.*,11516.0
156,140.183.199.*,35176.0
157,140.90.166.*,73392.0
158,140.96.17.*,24866.0
159,141.161.18.*,444230.0
160,141.173.36.*,52522.0
161,141.173.58.*,177600.0
162,141.192.85.*,43782.0
163,141.209.3.*,1824.0
164,141.211.86.*,14484.0
165,141.233.130.*,103106.0
166,141.243.1.*,1754204.0
167,141.244.142.*,4889.0
168,142.106.186.*,11516.0
169,142.139.220.*,26138.0
170,142.140.32.*,54461.0
171,142.142.64.*,53501.0
172,142.2.32.*,34314.0
173,142.227.56.*,15204.0
174,142.25.2.*,84897.0
175,142.28.2.*,398729.0
176,142.36.4.*,10925.0
177,142.94.10.*,11808.0
178,143.139.25.*,15019.0
179,143.166.206.*,232810.0
180,143.188.9.*,42748.0
181,143.202.74.*,11746.0
182,144.207.78.*,134184.0
183,144.39.248.*,34095.0
184,144.51.21.*,14370.0
185,144.92.184.*,34212.0
186,144.92.46.*,24476.0
187,146.114.111.*,8280.0
188,146.114.26.*,228495.0
189,146.114.41.*,77075.0
190,146.129.161.*,19490.0
191,146.137.152.*,17330.0
192,146.138.12.*,11746.0
193,146.138.145.*,2750332.0
194,146.138.34.*,1079474.0
195,146.138.35.*,24439.0
196,146.142.48.*,81406.0
197,146.167.189.*,11747.0
198,146.184.114.*,199615.0
199,146.229.1.*,2624.0
200,146.63.206.*,5532.0
201,146.64.37.*,55178.0
202,146.83.128.*,1802.0
203,147.154.93.*,22125.0
204,147.160.9.*,489875.0
205,147.46.42.*,19645.0
206,147.46.54.*,100761.0
207,147.97.8.*,17563.0
208,148.129.52.*,8802.0
209,148.149.107.*,148459.0
210,148.149.108.*,15699.0
211,148.224.17.*,517280.0
212,149.123.103.*,15820.0
213,149.136.2.*,11577.0
214,149.159.22.*,67951.0
215,149.168.105.*,6255.0
216,149.168.25.*,136269.0
217,149.168.50.*,64249.0
218,149.168.51.*,531611.0
219,149.25.57.*,93917.0
220,149.250.222.*,4254.0
221,149.252.214.*,334712.0
222,149.4.13.*,0.0
223,149.79.176.*,32173.0
224,149.8.43.*,2336.0
225,150.148.177.*,14506.0
226,150.148.56.*,44356.0
227,150.192.45.*,5226.0
228,150.200.42.*,147822.0
229,150.216.15.*,259921.0
230,150.216.67.*,7512.0
231,152.120.119.*,11746.0
232,152.120.123.*,21759.0
233,152.123.183.*,23494.0
234,152.123.194.*,16636.0
235,152.160.78.*,17331.0
236,152.165.111.*,7758.0
237,152.35.128.*,14709.0
238,153.64.63.*,57523.0
239,153.90.241.*,38313.0
240,155.187.32.*,7574.0
241,155.206.19.*,15340.0
242,155.206.3.*,9785.0
243,155.33.62.*,42755.0
244,155.75.105.*,13336.0
245,155.75.107.*,19910.0
246,155.75.31.*,28468.0
247,155.76.34.*,8718.0
248,155.77.120.*,31990.0
249,155.78.168.*,11747.0
250,155.79.153.*,68101.0
251,155.81.101.*,11808.0
252,155.82.161.*,82766.0
253,155.82.20.*,39162.0
254,155.84.91.*,542290.0
255,155.84.92.*,3353172.0
256,155.95.69.*,4914.0
257,156.3.41.*,70215.0
258,156.41.19.*,798931.0
259,156.42.76.*,27049.0
260,156.63.155.*,14465.0
261,156.63.173.*,11746.0
262,156.63.241.*,139826.0
263,156.63.59.*,422796.0
264,156.63.91.*,322674.0
265,156.63.99.*,204090.0
266,156.80.164.*,85282.0
267,156.80.94.*,14450.0
268,156.98.168.*,20464.0
269,156.98.203.*,12195.0
270,156.98.204.*,15020.0
271,156.98.205.*,1997426.0
272,156.99.78.*,11746.0
273,157.142.200.*,31060.0
274,157.145.93.*,45500.0
275,157.182.94.*,23999.0
276,157.190.64.*,141854.0
277,157.22.192.*,7513.0
278,157.92.49.*,75908.0
279,158.111.64.*,11747.0
280,158.111.96.*,116881.0
281,158.111.97.*,18257.0
282,158.145.111.*,17550.0
283,158.185.86.*,50414.0
284,158.229.201.*,157168.0
285,158.72.25.*,15020.0
286,159.105.44.*,33203.0
287,159.142.162.*,3517.0
288,159.230.8.*,3508.0
289,159.238.20.*,104754.0
290,159.238.227.*,25393.0
291,160.136.18.*,59406.0
292,160.69.35.*,393035.0
293,160.80.14.*,340602.0
294,161.119.52.*,14963.0
295,161.119.73.*,11747.0
296,161.122.12.*,3008684.0
297,161.129.48.*,3050.0
298,161.156.150.*,11746.0
299,161.225.48.*,2624.0
300,162.108.35.*,6874.0
301,162.15.100.*,16040.0
302,162.43.14.*,15680.0
303,162.43.21.*,81723.0
304,162.80.100.*,84489.0
305,162.80.60.*,16087.0
306,163.13.143.*,11577.0
307,163.178.128.*,9185.0
308,163.191.129.*,11515.0
309,163.191.186.*,165420.0
310,163.191.188.*,15917.0
311,163.191.195.*,7512.0
312,163.206.111.*,53638.0
313,163.234.112.*,275863.0
314,163.234.116.*,179570.0
315,163.234.128.*,19220.0
316,163.234.140.*,81936.0
317,163.234.156.*,31525.0
318,163.234.188.*,12588.0
319,163.234.204.*,108987.0
320,163.234.224.*,604773.0
321,163.234.34.*,53603.0
322,163.234.52.*,2873.0
323,163.234.60.*,9807.0
324,164.155.1.*,271513.0
325,164.156.42.*,14450.0
326,164.158.3.*,35178.0
327,164.159.192.*,43100.0
328,164.159.7.*,307570.0
329,164.167.106.*,137252.0
330,164.64.142.*,235403.0
331,165.1.8.*,74884.0
332,165.110.45.*,80583.0
333,165.113.166.*,26475.0
334,165.13.6.*,9384.0
335,165.151.26.*,4950.0
336,165.151.47.*,284453.0
337,165.151.51.*,3532.0
338,165.152.208.*,27129.0
339,165.152.88.*,2624.0
340,165.213.131.*,23813.0
341,165.234.109.*,23944.0
342,165.235.39.*,11746.0
343,167.193.49.*,80092.0
344,167.193.53.*,117812.0
345,167.21.131.*,32036.0
346,168.154.26.*,11747.0
347,168.29.232.*,18900.0
348,168.95.125.*,156621.0
349,169.14.20.*,61262.0
350,170.142.111.*,207919.0
351,170.55.130.*,4889.0
352,192.102.13.*,9279.0
353,192.107.65.*,11747.0
354,192.122.180.*,68165.0
355,192.137.112.*,142748.0
356,192.137.113.*,36430.0
357,192.146.118.*,147980.0
358,192.147.170.*,15209.0
359,192.154.33.*,11747.0
360,192.195.68.*,38602.0
361,192.217.118.*,18323.0
362,192.217.93.*,71519.0
363,192.228.164.*,7758.0
364,192.231.202.*,56431.0
365,192.231.222.*,14963.0
366,192.234.8.*,59544.0
367,192.239.66.*,39857.0
368,192.239.68.*,11747.0
369,192.246.181.*,4889.0
370,192.246.249.*,15019.0
371,192.246.73.*,80786.0
372,192.246.82.*,22215.0
373,192.249.10.*,102607.0
374,192.43.248.*,11746.0
375,192.48.125.*,310715.0
376,192.55.134.*,14507.0
377,192.58.194.*,9060.0
378,192.58.204.*,5897.0
379,192.58.206.*,115587.0
380,192.72.60.*,7513.0
