,subnetthree,sum(bytes)
0,128.104.*,4889.0
1,128.120.*,553346.0
2,128.138.*,387651.0
3,128.144.*,521757.0
4,128.148.*,3947.0
5,128.150.*,35238.0
6,128.158.*,73249.0
7,128.159.*,1087358.0
8,128.163.*,482503.0
9,128.165.*,92188.0
10,128.180.*,5388.0
11,128.192.*,2624.0
12,128.196.*,24398.0
13,128.206.*,4233.0
14,128.220.*,11746.0
15,128.227.*,456719.0
16,128.23.*,11747.0
17,128.252.*,325001.0
18,128.253.*,269703.0
19,128.255.*,32988.0
20,128.97.*,93203.0
21,129.108.*,12649.0
22,129.130.*,454963.0
23,129.132.*,97879.0
24,129.135.*,11747.0
25,129.15.*,120788.0
26,129.162.*,66695.0
27,129.187.*,19910.0
28,129.190.*,62896.0
29,129.193.*,8903.0
30,129.219.*,16530.0
31,129.228.*,35792.0
32,129.237.*,1287102.0
33,129.238.*,11746.0
34,129.243.*,104910.0
35,129.252.*,153937.0
36,129.53.*,1140.0
37,129.57.*,14256.0
38,129.81.*,98546.0
39,129.93.*,54560.0
40,129.96.*,4996.0
41,130.101.*,86425.0
42,130.127.*,12630.0
43,130.158.*,40575.0
44,130.19.*,957522.0
45,130.206.*,29733.0
46,130.207.*,23026.0
47,130.241.*,30666.0
48,130.38.*,17607.0
49,130.54.*,13603.0
50,130.95.*,9566.0
51,130.99.*,3842.0
52,131.110.*,37512.0
53,131.120.*,2624.0
54,131.126.*,175957.0
55,131.144.*,5327.0
56,131.167.*,1296081.0
57,131.170.*,12588.0
58,131.178.*,236194.0
59,131.181.*,35339.0
60,131.182.*,20474.0
61,131.203.*,4889.0
62,131.215.*,32988.0
63,131.230.*,3073.0
64,131.234.*,
65,131.247.*,11808.0
66,131.250.*,67624.0
67,131.44.*,4889.0
68,131.52.*,373394.0
69,131.90.*,8712.0
70,131.92.*,361577.0
71,131.95.*,46091.0
72,132.170.*,114859.0
73,132.175.*,19488.0
74,132.236.*,13925.0
75,132.248.*,106260.0
76,132.74.*,69622.0
77,133.62.*,44317.0
78,134.116.*,4449.0
79,134.126.*,11590.0
80,134.136.*,14416.0
81,134.156.*,61456.0
82,134.164.*,11747.0
83,134.186.*,424290.0
84,134.20.*,247607.0
85,134.243.*,116342.0
86,134.53.*,54228.0
87,134.67.*,378302.0
88,134.7.*,32505.0
89,136.205.*,69614.0
90,136.210.*,3710.0
91,137.113.*,35969.0
92,137.132.*,2235.0
93,137.159.*,14449.0
94,137.161.*,39435.0
95,137.187.*,5327.0
96,137.219.*,1162480.0
97,137.227.*,89877.0
98,137.229.*,16131.0
99,137.241.*,8618.0
100,137.243.*,52225.0
101,137.35.*,78093.0
102,137.44.*,9606.0
103,138.13.*,91352.0
104,138.145.*,24576.0
105,138.25.*,45491.0
106,138.26.*,11747.0
107,138.87.*,326105.0
108,139.102.*,86042.0
109,139.104.*,85385.0
110,139.121.*,5207787.0
111,139.230.*,95929.0
112,139.94.*,39857.0
113,140.112.*,18108.0
114,140.115.*,4889.0
115,140.120.*,11516.0
116,140.183.*,35176.0
117,140.90.*,73392.0
118,140.96.*,24866.0
119,141.161.*,444230.0
120,141.173.*,230122.0
121,141.192.*,43782.0
122,141.209.*,1824.0
123,141.211.*,14484.0
124,141.233.*,103106.0
125,141.243.*,1754204.0
126,141.244.*,4889.0
127,142.106.*,11516.0
128,142.139.*,26138.0
129,142.140.*,54461.0
130,142.142.*,53501.0
131,142.2.*,34314.0
132,142.227.*,15204.0
133,142.25.*,84897.0
134,142.28.*,398729.0
135,142.36.*,10925.0
136,142.94.*,11808.0
137,143.139.*,15019.0
138,143.166.*,232810.0
139,143.188.*,42748.0
140,143.202.*,11746.0
141,144.207.*,134184.0
142,144.39.*,34095.0
143,144.51.*,14370.0
144,144.92.*,58688.0
145,146.114.*,313850.0
146,146.129.*,19490.0
147,146.137.*,17330.0
148,146.138.*,3865991.0
149,146.142.*,81406.0
150,146.167.*,11747.0
151,146.184.*,199615.0
152,146.229.*,2624.0
153,146.63.*,5532.0
154,146.64.*,55178.0
155,146.83.*,1802.0
156,147.154.*,22125.0
157,147.160.*,489875.0
158,147.46.*,120406.0
159,147.97.*,17563.0
160,148.129.*,8802.0
161,148.149.*,164158.0
162,148.224.*,517280.0
163,149.123.*,15820.0
164,149.136.*,11577.0
165,149.159.*,67951.0
166,149.168.*,738384.0
167,149.25.*,93917.0
168,149.250.*,4254.0
169,149.252.*,334712.0
170,149.4.*,0.0
171,149.79.*,32173.0
172,149.8.*,2336.0
173,150.148.*,58862.0
174,150.192.*,5226.0
175,150.200.*,147822.0
176,150.216.*,267433.0
177,152.120.*,33505.0
178,152.123.*,40130.0
179,152.160.*,17331.0
180,152.165.*,7758.0
181,152.35.*,14709.0
182,153.64.*,57523.0
183,153.90.*,38313.0
184,155.187.*,7574.0
185,155.206.*,25125.0
186,155.33.*,42755.0
187,155.75.*,61714.0
188,155.76.*,8718.0
189,155.77.*,31990.0
190,155.78.*,11747.0
191,155.79.*,68101.0
192,155.81.*,11808.0
193,155.82.*,121928.0
194,155.84.*,3895462.0
195,155.95.*,4914.0
196,156.3.*,70215.0
197,156.41.*,798931.0
198,156.42.*,27049.0
199,156.63.*,1115597.0
200,156.80.*,99732.0
201,156.98.*,2045105.0
202,156.99.*,11746.0
203,157.142.*,31060.0
204,157.145.*,45500.0
205,157.182.*,23999.0
206,157.190.*,141854.0
207,157.22.*,7513.0
208,157.92.*,75908.0
209,158.111.*,146885.0
210,158.145.*,17550.0
211,158.185.*,50414.0
212,158.229.*,157168.0
213,158.72.*,15020.0
214,159.105.*,33203.0
215,159.142.*,3517.0
216,159.230.*,3508.0
217,159.238.*,130147.0
218,160.136.*,59406.0
219,160.69.*,393035.0
220,160.80.*,340602.0
221,161.119.*,26710.0
222,161.122.*,3008684.0
223,161.129.*,3050.0
224,161.156.*,11746.0
225,161.225.*,2624.0
226,162.108.*,6874.0
227,162.15.*,16040.0
228,162.43.*,97403.0
229,162.80.*,100576.0
230,163.13.*,11577.0
231,163.178.*,9185.0
232,163.191.*,200364.0
233,163.206.*,53638.0
234,163.234.*,1380745.0
235,164.155.*,271513.0
236,164.156.*,14450.0
237,164.158.*,35178.0
238,164.159.*,350670.0
239,164.167.*,137252.0
240,164.64.*,235403.0
241,165.1.*,74884.0
242,165.110.*,80583.0
243,165.113.*,26475.0
244,165.13.*,9384.0
245,165.151.*,292935.0
246,165.152.*,29753.0
247,165.213.*,23813.0
248,165.234.*,23944.0
249,165.235.*,11746.0
250,167.193.*,197904.0
251,167.21.*,32036.0
252,168.154.*,11747.0
253,168.29.*,18900.0
254,168.95.*,156621.0
255,169.14.*,61262.0
256,170.142.*,207919.0
257,170.55.*,4889.0
258,192.102.*,9279.0
259,192.107.*,11747.0
260,192.122.*,68165.0
261,192.137.*,179178.0
262,192.146.*,147980.0
263,192.147.*,15209.0
264,192.154.*,11747.0
265,192.195.*,38602.0
266,192.217.*,89842.0
267,192.228.*,7758.0
268,192.231.*,71394.0
269,192.234.*,59544.0
270,192.239.*,51604.0
271,192.246.*,122909.0
272,192.249.*,102607.0
273,192.43.*,11746.0
274,192.48.*,310715.0
275,192.55.*,14507.0
276,192.58.*,130544.0
277,192.72.*,7513.0
278,192.74.*,15081.0
279,192.88.*,166495.0
280,193.144.*,9502.0
281,193.145.*,88485.0
282,193.56.*,10301.0
283,193.63.*,3421.0
284,193.78.*,6085.0
285,194.151.*,19396.0
286,194.158.*,11746.0
287,194.166.*,18280.0
288,194.20.*,211300.0
289,194.90.*,4888.0
290,198.102.*,3260369.0
291,198.104.*,173062.0
292,198.105.*,47538.0
293,198.106.*,788749.0
294,198.108.*,5250.0
295,198.109.*,437435.0
296,198.110.*,35749.0
297,198.111.*,4888.0
298,198.137.*,290483.0
299,198.165.*,232428.0
300,198.185.*,11747.0
301,198.215.*,32272.0
302,198.216.*,23877.0
303,198.234.*,33221.0
304,198.31.*,78256.0
305,198.5.*,14507.0
306,198.59.*,54867.0
307,198.69.*,34462.0
308,198.76.*,11746.0
309,198.77.*,92897.0
310,198.80.*,24063.0
311,198.83.*,7030.0
312,198.85.*,169843.0
313,198.86.*,14392.0
314,198.88.*,220449.0
315,199.1.*,60892.0
316,199.11.*,70709.0
317,199.111.*,16635.0
318,199.126.*,190561.0
319,199.16.*,0.0
320,199.170.*,24509.0
321,199.190.*,33835.0
322,199.199.*,841.0
323,199.213.*,35156.0
324,199.217.*,94474.0
325,199.222.*,47666.0
326,199.223.*,1724.0
327,199.249.*,3852.0
328,199.4.*,5250.0
329,199.73.*,86925.0
330,199.77.*,365696.0
331,199.8.*,221831.0
332,199.89.*,19593.0
333,200.10.*,19645.0
334,200.12.*,0.0
335,200.246.*,447618.0
336,202.244.*,13205.0
337,202.32.*,159922.0
338,202.39.*,378246.0
339,202.46.*,20658.0
340,202.96.*,10296.0
341,203.1.*,73853.0
342,203.2.*,10788.0
343,203.249.*,88045.0
344,203.251.*,3785626.0
345,204.120.*,32988.0
346,204.130.*,758336.0
347,204.157.*,106961.0
348,204.165.*,41943.0
349,204.171.*,100725.0
350,204.176.*,26174.0
351,204.177.*,104910.0
352,204.178.*,237817.0
353,204.185.*,138635.0
354,204.188.*,162121.0
355,204.194.*,61745.0
356,204.233.*,45905.0
357,204.238.*,8361.0
358,204.240.*,25938.0
359,204.242.*,325549.0
360,204.248.*,204373.0
361,204.249.*,5248.0
362,204.250.*,109220.0
363,204.252.*,16762.0
364,204.254.*,52225.0
365,204.255.*,164457.0
366,204.27.*,8486.0
367,204.32.*,4888.0
368,204.4.*,30842.0
369,204.5.*,24376.0
370,204.62.*,269983.0
371,204.7.*,1463223.0
372,204.73.*,38895.0
373,204.91.*,306466.0
374,204.97.*,125579.0
375,205.133.*,101570.0
376,205.138.*,11747.0
377,205.168.*,2258.0
378,205.197.*,4889.0
379,205.208.*,118278.0
380,205.216.*,4888.0
381,205.217.*,4950.0
382,205.218.*,88805.0
383,205.241.*,2624.0
384,206.26.*,114429.0
385,206.27.*,116718.0
386,206.43.*,154615.0
387,38.12.*,202827.0
